Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
MSN,Hàng tiêu dùng thiết yếu,77.7,78.5,1674700.0,77.8,-0.8917197452229297,2025-10-28 10:22:00,intraday,81.845,82.54,71.579,81.22367880237721,81.04646361393658,40.27366358348782,2.9169154241156754,3.754073904910779,-0.6872645239230751,-1.3740163730289428,-4.074074074074074,7.172413793103449,12413050.0,94.0,50.3,-17.340425531914892,54.473161033797226
MWG,Hàng tiêu dùng không thiết yếu,81.4,81.0,2570400.0,81.5,0.6172839506172867,2025-10-28 10:22:00,intraday,81.67,78.128,65.38806000000001,81.8468749344098,78.36841272226556,51.10990996343913,2.5489835489598436,3.131429421326589,-0.2901728098293759,-0.0931582668146222,4.761904761904767,24.846625766871178,8838090.0,87.9,45.1,-7.394766780432304,80.48780487804879
NKG,Nguyên vật liệu,15.9,15.7,1472300.0,15.85,0.9554140127388644,2025-10-28 10:22:00,intraday,16.8925,17.378,14.82125,16.752955319757916,16.89975118209099,39.50982969118195,0.6792380373273026,4.271937341681149,-0.17571633579673274,-1.2342281078016253,-9.659090909090917,2.580645161290329,10342105.0,20.4,11.05,-22.058823529411754,43.89140271493213
NLG,Bất động sản,35.95,36.8,927900.0,35.95,-2.309782608695632,2025-10-28 10:22:00,intraday,36.63275,37.69066,33.41673,36.968369303315875,37.1416048723366,44.769998227456966,1.4429836122026496,4.013862620869679,0.031624818877758226,-0.6393226325883172,-2.402606216913261,-2.402606216913261,3767965.0,45.632,23.286,-21.21756661991584,54.38460877780642
NT2,Dịch vụ tiện ích,23.1,22.8,347300.0,23.1,1.3157894736842035,2025-10-28 10:22:00,intraday,22.36195,21.94812,19.641295,22.36392885282825,21.84240967869098,58.4472635416565,0.7631947628914454,3.3038734324304992,0.07362923156873499,1.3062974059301484,2.0002649357530933,16.431451612903224,1214070.0,24.001,15.485,-3.7540102495729366,49.17662253793995
OCB,Tài chính,12.65,12.85,477300.0,12.6,-1.945525291828798,2025-10-28 10:22:00,intraday,12.89,13.126,10.893214999999998,12.845085634716256,12.77234830338027,45.864123832453615,0.3620862059815441,2.862341549261218,-0.011661521844083346,-0.8249830391743401,0.0,7.57717492984098,3788020.0,15.4,7.799,-17.85714285714286,62.2002820874471
PAN,Hàng tiêu dùng thiết yếu,30.9,30.8,283900.0,30.85,0.16233766233766378,2025-10-28 10:22:00,intraday,30.98,32.1031,28.07864,31.050971113637342,31.480654707333493,46.81726894209825,0.9477609702370431,3.067187605945123,0.03473542984745359,-0.1124467685692783,-2.0602218700475516,-9.500937207122773,964035.0,35.6,20.102,-13.20224719101124,53.71604815441249
PC1,Công nghiệp,22.15,22.3,360400.0,22.25,-0.22421524663677195,2025-10-28 10:22:00,intraday,23.6525,25.653000000000002,23.6195,23.485314305176573,24.570449966290766,33.88989930422984,0.8008054593358979,3.6153745342478465,-0.10281190170334475,-1.2114245630774851,-13.47656250000001,-20.0361010830325,2483315.0,32.5,18.4,-31.846153846153847,20.380434782608692
PDR,Bất động sản,21.75,22.05,5349900.0,21.75,-1.3605442176870763,2025-10-28 10:22:00,intraday,23.69,24.006999999999998,19.042685,23.670478739954312,23.211576030962295,39.01264072898011,1.2030518418204754,5.531272835956209,-0.3048023134507113,-1.486577978499863,-7.249466950959482,16.291504036785543,20669645.0,27.2,13.935,-20.036764705882348,56.08180839612486
PHR,Nguyên vật liệu,53.3,53.0,24400.0,53.3,0.5660377358490454,2025-10-28 10:19:00,intraday,53.552499999999995,55.40052,54.70897499999999,53.264256324407604,54.93562385737552,47.575594793673055,1.4542529655576077,2.7284295789073316,0.08120228134250351,-0.11491190607230017,-3.616636528028938,-12.780232367861233,185805.0,67.358,38.072,-20.87057216663204,39.9978987182181
PLX,Năng lượng,34.1,34.15,233400.0,34.15,0.0,2025-10-28 10:21:00,intraday,33.872499999999995,35.091,36.711025,34.10142599486607,34.8649587929962,47.35023767846388,0.6275121543103555,1.8402115962180512,0.14803792201305943,0.577128394398479,-0.29239766081872176,-4.748603351955294,1332710.0,43.107,29.947,-20.894518291692766,13.867833171937093
PNJ,Hàng tiêu dùng không thiết yếu,92.3,93.5,166200.0,92.6,-0.9625668449197877,2025-10-28 10:22:00,intraday,87.10499999999999,85.76816000000001,83.93524,88.4096467903079,86.31363651133185,60.10754684775702,2.629840182495337,2.8492309669505276,0.799725060403113,1.3254641789872892,11.07099879663056,3.898150545380852,884460.0,97.78,61.783,-5.604418081407248,49.39384620364824
POW,Dịch vụ tiện ích,13.8,13.85,1246000.0,13.8,-0.3610108303249038,2025-10-28 10:21:00,intraday,14.057500000000001,15.01,13.3594,14.068101356435674,14.476820622025633,41.81645620436032,0.4008467701627411,2.9046867403097183,-0.0024610113000827494,-0.5881950031333035,-3.832752613240409,-3.157894736842104,6385205.0,17.45,9.92,-20.916905444126066,39.11290322580645
PPC,Dịch vụ tiện ích,10.15,10.1,160000.0,10.15,0.4950495049504955,2025-10-28 10:22:00,intraday,10.432500000000001,10.702,11.355250000000002,10.388825277769735,10.665511073254647,29.744662142568316,0.1333397376242493,1.3136919962980227,-0.019438261785604927,-1.2398644972794615,-5.1401869158878455,-7.727272727272727,301785.0,13.15,10.1,-22.81368821292775,0.4950495049504955
PTB,Công nghiệp,51.6,51.8,13100.0,51.6,-0.3861003861003742,2025-10-28 10:16:00,intraday,49.0325,50.288000000000004,53.48928,50.02489589904431,50.46230382291141,58.94884966715076,1.4128064584934292,2.737997012584165,0.47792354040736,1.36821233851324,7.949790794979084,-5.147058823529404,112180.0,65.898,43.462,-21.697168351088038,18.724402926694573
PVD,Năng lượng,20.1,20.05,535300.0,20.1,0.24937655860348684,2025-10-28 10:22:00,intraday,20.6475,21.430259999999997,20.83967,20.57461228822224,21.008408692033864,42.059409969666746,0.6846668327237683,3.406302650367006,-0.03319464610040429,-0.6882810124034686,-8.843537414965985,-3.4999279850208787,3874365.0,25.719,16.233,-21.847661262101948,23.821844391055258
PVT,Năng lượng,17.1,17.1,480400.0,17.15,0.29239766081869956,2025-10-28 10:22:00,intraday,17.5675,17.97,18.154645000000002,17.50762402399065,17.821129916643812,40.03428983094843,0.4268897471149622,2.4964312696781414,-0.03592983914435277,-1.0656952995923696,-5.7851239669421295,-6.5573770491803245,2240790.0,22.046,14.091,-22.43490882699809,21.354055780285307
